Age	ID	Sex	Location	AntiGot	Condition	Cost	NeutGot
4.5	583	F	Urban	Bad	Private	N	Good
4.802777778	584	M	Urban	Good	Public	N	Empty
5.102777778	586	F	Urban	Good	Public	N	Good
4.5	587	M	Urban	Empty	Private	N	Good
5.475	588	M	Urban	Good	Public	N	Good
7.5	610	M	Urban	Good	Public	N	Good
8.2	611	M	Urban	Good	Public	N	Good
7.816666667	612	F	Urban	Bad	Public	N	Good
8.458333333	613	F	Urban	Bad	Public	N	Good
7.605555556	614	M	Urban	Bad	Public	N	Good
8.488888889	615	M	Urban	Good	Public	N	Good
9.641666667	148	F	Urban	Good	Private	Y	Bad
6.469444444	260	F	Urban	Good	Public	Y	Bad
5.908333333	261	M	Urban	Empty	Private	Y	Good
6.422222222	262	F	Urban	Empty	Public	Y	Empty
6.5	263	F	Urban	Bad	Private	Y	Good
6.311111111	265	F	Urban	Empty	Public	Y	Empty
6.730555556	266	F	Urban	Bad	Private	Y	Good
6.347222222	267	F	Urban	Bad	Public	Y	Good
5.758333333	268	F	Urban	Empty	Private	Y	Good
6.291666667	269	M	Urban	Bad	Public	Y	Empty
5.783333333	270	F	Urban	Empty	Private	Y	Empty
6.436111111	271	F	Urban	Good	Public	Y	Empty
6.475	272	M	Urban	Empty	Private	Y	Good
6.252777778	273	M	Urban	Empty	Public	Y	Empty
6.4	274	M	Urban	Bad	Private	Y	Good
5.697222222	275	F	Urban	Bad	Public	Y	Empty
5.705555556	276	F	Urban	Empty	Private	Y	Empty
5.783333333	277	F	Urban	Empty	Public	Y	Empty
6.488888889	278	M	Urban	Bad	Private	Y	Good
6.438888889	279	F	Urban	Empty	Public	Y	Good
5.5	281	F	Urban	Good	Public	Y	Bad
4.5	282	M	Urban	Good	Private	Y	Good
4.152777778	283	F	Urban	Empty	Public	Y	Good
5.5	284	F	Urban	Bad	Private	Y	Empty
5.5	285	M	Urban	Good	Public	Y	Good
4.5	286	M	Urban	Empty	Private	Y	Empty
4.5	287	F	Urban	Empty	Public	Y	Empty
5.5	288	F	Urban	Empty	Private	Y	Empty
4.5	289	M	Urban	Empty	Public	Y	Good
5.5	290	M	Urban	Good	Private	Y	Good
5.5	291	M	Urban	Good	Public	Y	Good
5.016666667	292	M	Urban	Empty	Private	Y	Good
5.5	293	M	Urban	Empty	Public	Y	Good
6.5	294	F	Urban	Empty	Private	Y	Good
4.5	296	M	Urban	Empty	Private	Y	Good
5.630555556	297	M	Urban	Good	Public	Y	Good
4.5	298	F	Urban	Bad	Private	Y	Empty
4.508333333	299	F	Urban	Good	Public	Y	Good
6.5	300	M	Urban	Bad	Private	Y	Empty
5.5	301	F	Urban	Empty	Public	Y	Empty
4.5	302	M	Urban	Good	Private	Y	Good
4.5	303	M	Urban	Good	Public	Y	Good
4.5	304	M	Urban	Good	Private	Y	Bad
5.308333333	305	M	Urban	Good	Public	Y	Good
4.5	306	F	Urban	Empty	Private	Y	Good
